station,valid,metar
EGKK,2024-01-01 12:50,EGKK 011250Z 21007KT CAVOK 09/04 Q1005
EGKK,2024-01-01 13:20,EGKK 011320Z 21005KT 190V250 CAVOK 09/05 Q1004
EGKK,2024-01-01 13:50,EGKK 011350Z 20006KT CAVOK 09/05 Q1004
EGKK,2024-01-01 14:20,EGKK 011420Z 18004KT 150V220 CAVOK 09/05 Q1003
EGKK,2024-01-01 14:50,EGKK 011450Z 18004KT 9999 VCSH FEW024 SCT032 09/06 Q1003
EGKK,2024-01-01 15:20,EGKK 011520Z 20008KT 9999 -RA FEW027 SCT035 09/06 Q1003
EGKK,2024-01-01 15:50,EGKK 011550Z 19004KT 150V220 9000 -RA FEW018 BKN044 08/07 Q1003
EGKK,2024-01-01 16:20,EGKK 011620Z 16005KT 7000 -RA SCT011 BKN020 08/07 Q1002
EGKK,2024-01-01 16:50,EGKK 011650Z 17008KT 6000 -RA SCT010 BKN014 09/08 Q1001
EGKK,2024-01-01 17:20,EGKK 011720Z 18009KT 160V220 9000 -RA FEW007 BKN012 09/08 Q1000
EGKK,2024-01-01 17:50,EGKK 011750Z 17009KT 9000 -RA BKN011 09/08 Q1000
EGKK,2024-01-01 18:20,EGKK 011820Z 18012KT 140V210 7000 -RA BKN009 09/08 Q0999
EGKK,2024-01-01 18:50,EGKK 011850Z 18010KT 140V210 9999 -RA BKN011 09/08 Q0998
EGKK,2024-01-01 19:20,EGKK 011920Z 19010KT 150V220 9000 -RA BKN010 09/08 Q0997
EGKK,2024-01-01 19:50,EGKK 011950Z 17011KT 130V200 9000 -RA BKN010 09/09 Q0996
EGKK,2024-01-01 20:20,EGKK 012020Z 17011KT 140V200 5000 -RA BKN009 10/09 Q0995
EGKK,2024-01-01 20:50,EGKK 012050Z 19015KT 140V220 8000 -RA FEW008 BKN012 10/09 Q0993
EGKK,2024-01-01 21:20,EGKK 012120Z 21013KT 170V230 9000 -RA BKN009 10/10 Q0993
EGKK,2024-01-01 21:50,EGKK 012150Z 21013KT 9999 -RA BKN011 11/10 Q0992
EGKK,2024-01-01 22:20,EGKK 012220Z 21013KT 6000 -RA BKN008 11/10 Q0991
EGKK,2024-01-01 22:50,EGKK 012250Z 21015G25KT 7000 -RA BKN009 11/11 Q0990
EGKK,2024-01-01 23:20,EGKK 012320Z 22015G25KT 190V250 6000 -RA BKN007 11/11 Q0990
EGKK,2024-01-01 23:50,EGKK 012350Z 22014KT 180V240 6000 -RA BKN007 12/11 Q0990
EGKK,2024-01-02 00:20,EGKK 020020Z 22014G24KT 6000 -RADZ BKN008 12/11 Q0989
EGKK,2024-01-02 00:50,EGKK 020050Z 23012KT 9999 BKN008 12/11 Q0989
EGKK,2024-01-02 01:20,EGKK 020120Z 23014KT 6000 -RA BKN008 12/11 Q0990
EGKK,2024-01-02 01:50,EGKK 020150Z 24012KT 9999 SCT009 BKN014 12/11 Q0990
EGKK,2024-01-02 02:20,EGKK 020220Z 23011KT 9999 FEW008 SCT024 12/11 Q0991
EGKK,2024-01-02 02:50,EGKK 020250Z 23010KT 9999 SCT022 12/11 Q0991
EGKK,2024-01-02 03:20,EGKK 020320Z 23009KT 9999 SCT022 12/10 Q0991
EGKK,2024-01-02 03:50,EGKK 020350Z 22010KT 9999 SCT022 12/10 Q0991
EGKK,2024-01-02 04:20,EGKK 020420Z 23008KT 9999 FEW021 12/10 Q0992
EGKK,2024-01-02 04:50,EGKK 020450Z 22007KT 9999 SCT013 12/10 Q0991
EGKK,2024-01-02 05:20,EGKK 020520Z 21008KT 9999 BKN012 12/10 Q0991
EGKK,2024-01-02 05:50,EGKK 020550Z 22010KT 9999 SCT013 12/10 Q0991
EGKK,2024-01-02 06:20,EGKK 020620Z 22008KT CAVOK 11/10 Q0991
EGKK,2024-01-02 06:50,EGKK 020650Z 21007KT CAVOK 11/10 Q0990
EGKK,2024-01-02 07:20,EGKK 020720Z 20006KT 9999 -RA FEW010 11/11 Q0990
EGKK,2024-01-02 07:50,EGKK 020750Z 18004KT 150V220 9999 -RA FEW008 11/11 Q0989
EGKK,2024-01-02 08:20,EGKK 020820Z 18004KT 140V210 6000 -RA FEW008 SCT013 11/11 Q0989
EGKK,2024-01-02 08:50,EGKK 020850Z 16005KT 110V210 6000 -RA SCT006 BKN025 11/11 Q0988
EGKK,2024-01-02 09:20,EGKK 020920Z 21011KT 9999 -RA BKN007 12/11 Q0987
EGKK,2024-01-02 09:50,EGKK 020950Z 22013KT 9999 -RA BKN008 12/12 Q0986
EGKK,2024-01-02 10:20,EGKK 021020Z 22017G30KT 9999 -RA SCT007 SCT013 BKN018 13/12 Q0986
EGKK,2024-01-02 10:50,EGKK 021050Z 21014G28KT 9999 -RA SCT010 BKN021 13/12 Q0985
EGKK,2024-01-02 11:20,EGKK 021120Z 20015G25KT 170V230 3000 RA BKN008 12/11 Q0984
EGKK,2024-01-02 11:50,EGKK 021150Z 20015KT 160V230 3500 RA BKN007 12/12 Q0983
EGKK,2024-01-02 12:20,EGKK 021220Z 20020G34KT 160V230 3500 RA SCT008 BKN011 12/12 Q0981
EGKK,2024-01-02 12:50,EGKK 021250Z 22019G30KT 9999 -RA BKN008 13/12 Q0981 RERA
EGKK,2024-01-02 13:20,EGKK 021320Z 22017G30KT 190V250 7000 -RA BKN007 13/12 Q0980
EGKK,2024-01-02 13:50,EGKK 021350Z 21019G35KT 7000 -RA BKN010 13/11 Q0979
EGKK,2024-01-02 14:20,EGKK 021420Z 22023G42KT 9999 VCSH BKN016 13/10 Q0978
EGKK,2024-01-02 14:50,EGKK 021450Z 23026G38KT 9999 SCT023 BKN030 13/08 Q0979
EGKK,2024-01-02 15:20,EGKK 021520Z 24023G49KT 220V280 9999 BKN028 12/08 Q0980
EGKK,2024-01-02 15:50,EGKK 021550Z 24023G36KT 9999 SCT014 BKN027 12/07 Q0981
EGKK,2024-01-02 16:20,EGKK 021620Z 25021G35KT 9999 BKN029 12/07 Q0982
EGKK,2024-01-02 16:50,EGKK 021650Z 25024G36KT 9999 FEW023 BKN026 11/07 Q0983
EGKK,2024-01-02 17:20,EGKK 021720Z 25023KT 9999 BKN028 BKN035 11/06 Q0984
EGKK,2024-01-02 17:50,EGKK 021750Z 24020KT 9999 BKN025 11/07 Q0984
EGKK,2024-01-02 18:20,EGKK 021820Z 25017KT 9999 BKN025 BKN034 11/07 Q0985
EGKK,2024-01-02 18:50,EGKK 021850Z 25018G29KT 9999 BKN030 11/06 Q0986
EGKK,2024-01-02 19:20,EGKK 021920Z 25017KT 9999 BKN030 11/06 Q0986
EGKK,2024-01-02 19:50,EGKK 021950Z 25017KT 9999 BKN031 11/06 Q0987
EGKK,2024-01-02 20:20,EGKK 022020Z 24014G24KT 9999 BKN029 11/06 Q0987
EGKK,2024-01-02 20:50,EGKK 022050Z 24015KT 9999 BKN028 11/06 Q0988
EGKK,2024-01-02 21:20,EGKK 022120Z 24013KT 9999 BKN030 10/06 Q0988
EGKK,2024-01-02 21:50,EGKK 022150Z 24013KT 9999 FEW025 BKN030 10/06 Q0989
EGKK,2024-01-02 22:20,EGKK 022220Z 24011KT 9999 FEW026 SCT032 11/07 Q0989
EGKK,2024-01-02 22:50,EGKK 022250Z 23011KT 9999 SCT024 10/07 Q0989
EGKK,2024-01-02 23:20,EGKK 022320Z 23010KT 9999 BKN025 10/07 Q0989
EGKK,2024-01-02 23:50,EGKK 022350Z 23012KT 9999 BKN025 10/07 Q0990
EGKK,2024-01-03 00:20,EGKK 030020Z 23011G21KT 9999 FEW024 10/07 Q0990
EGKK,2024-01-03 00:50,EGKK 030050Z 24009KT CAVOK 10/07 Q0990
EGKK,2024-01-03 01:20,EGKK 030120Z 23009KT 9999 FEW043 10/07 Q0989
EGKK,2024-01-03 01:50,EGKK 030150Z 23012KT 9999 SCT020 10/07 Q0989
EGKK,2024-01-03 02:20,EGKK 030220Z 23012KT 9999 FEW022 SCT045 10/07 Q0989
EGKK,2024-01-03 02:50,EGKK 030250Z 23009KT 9999 FEW023 09/06 Q0989
EGKK,2024-01-03 03:20,EGKK 030320Z 23011KT 9999 SCT022 09/07 Q0989
EGKK,2024-01-03 03:50,EGKK 030350Z 23008KT 9999 FEW019 09/07 Q0989
EGKK,2024-01-03 04:20,EGKK 030420Z 24011KT 9999 SCT020 10/07 Q0989
EGKK,2024-01-03 04:50,EGKK 030450Z 24013G23KT 9999 FEW025 SCT042 10/06 Q0989
EGKK,2024-01-03 05:20,EGKK 030520Z 24010KT 9999 BKN043 09/06 Q0990
EGKK,2024-01-03 05:50,EGKK 030550Z 23011KT 9999 FEW044 09/06 Q0990
EGKK,2024-01-03 06:20,EGKK 030620Z 23009KT 9999 SCT042 09/06 Q0990
EGKK,2024-01-03 06:50,EGKK 030650Z 23010KT 9999 FEW024 SCT040 09/06 Q0990
EGKK,2024-01-03 07:20,EGKK 030720Z 23009KT 9999 FEW021 09/06 Q0990
EGKK,2024-01-03 07:50,EGKK 030750Z 22006KT 9999 FEW020 09/07 Q0990
EGKK,2024-01-03 08:20,EGKK 030820Z 23009G19KT 9999 FEW023 10/07 Q0990
EGKK,2024-01-03 08:50,EGKK 030850Z 23011KT 9999 FEW023 10/07 Q0990
EGKK,2024-01-03 09:20,EGKK 030920Z 23011KT 200V260 9999 -RA FEW025 SCT044 10/07 Q0990
EGKK,2024-01-03 09:50,EGKK 030950Z 23010KT 9999 -RA SCT021 SCT038 10/08 Q0990
EGKK,2024-01-03 10:20,EGKK 031020Z 23013KT 9999 SCT023 11/07 Q0990
EGKK,2024-01-03 10:50,EGKK 031050Z 23012KT 9999 SCT024 11/07 Q0990
EGKK,2024-01-03 11:20,EGKK 031120Z 22011KT 190V250 9999 SCT025 BKN045 11/07 Q0990
EGKK,2024-01-03 11:50,EGKK 031150Z 23012KT 9999 SCT025 SCT045 11/07 Q0989
EGKK,2024-01-03 12:20,EGKK 031220Z 23011KT 9999 FEW022 SCT034 11/07 Q0989
EGKK,2024-01-03 12:50,EGKK 031250Z 24011KT 9999 SCT024 11/07 Q0989
EGKK,2024-01-03 13:20,EGKK 031320Z 23009KT 9999 SCT028 11/07 Q0989
EGKK,2024-01-03 13:50,EGKK 031350Z 24011KT 9999 SCT029 BKN044 11/06 Q0989
EGKK,2024-01-03 14:20,EGKK 031420Z 26015KT 9999 BKN027 11/06 Q0990
EGKK,2024-01-03 14:50,EGKK 031450Z 27013KT 9999 SCT029 10/05 Q0990
EGKK,2024-01-03 15:20,EGKK 031520Z 26015KT 9999 SCT029 10/06 Q0991
EGKK,2024-01-03 15:50,EGKK 031550Z 25011KT 9999 SCT024 10/06 Q0991
EGKK,2024-01-03 16:20,EGKK 031620Z 26012KT 9999 SCT025 10/06 Q0992
EGKK,2024-01-03 16:50,EGKK 031650Z 25011KT 9999 SCT039 10/06 Q0992
EGKK,2024-01-03 17:20,EGKK 031720Z 25010KT 9999 FEW024 SCT049 10/06 Q0993
EGKK,2024-01-03 17:50,EGKK 031750Z 25011KT 9999 FEW022 SCT035 10/06 Q0993
EGKK,2024-01-03 18:20,EGKK 031820Z 25009KT 9999 -RA BKN022 09/07 Q0994
EGKK,2024-01-03 18:50,EGKK 031850Z 25012KT 9999 -RA SCT023 BKN043 09/06 Q0994
EGKK,2024-01-03 19:20,EGKK 031920Z 26014KT 9999 SCT020 BKN036 09/06 Q0995
EGKK,2024-01-03 19:50,EGKK 031950Z 26014KT 9999 FEW020 BKN032 09/06 Q0995
EGKK,2024-01-03 20:20,EGKK 032020Z 26014KT 9999 FEW018 SCT036 09/06 Q0996
EGKK,2024-01-03 20:50,EGKK 032050Z 26013KT 9999 FEW018 BKN032 09/06 Q0996
EGKK,2024-01-03 21:20,EGKK 032120Z 26011KT 9999 SCT030 08/06 Q0997
EGKK,2024-01-03 21:50,EGKK 032150Z 26011KT 9999 FEW018 08/06 Q0998
EGKK,2024-01-03 22:20,EGKK 032220Z 24008KT 9999 FEW017 08/06 Q0998
EGKK,2024-01-03 22:50,EGKK 032250Z 23007KT 9999 SCT020 08/06 Q0999
EGKK,2024-01-03 23:20,EGKK 032320Z 24008KT 9999 FEW022 SCT035 08/06 Q0999
EGKK,2024-01-03 23:50,EGKK 032350Z 24009KT 9999 FEW020 SCT031 08/06 Q0999
EGKK,2024-01-04 00:20,EGKK 040020Z 23006KT 9999 FEW018 08/06 Q1000
EGKK,2024-01-04 00:50,EGKK 040050Z 24009KT 9999 FEW014 08/06 Q1000
EGKK,2024-01-04 01:20,EGKK 040120Z 24009KT 9999 -SHRA FEW014 SCT048 08/07 Q1000
EGKK,2024-01-04 01:50,EGKK 040150Z 24010KT 9999 SCT018 08/07 Q1001
EGKK,2024-01-04 02:20,EGKK 040220Z 24009KT 9999 SCT020 08/06 Q1001
EGKK,2024-01-04 02:50,EGKK 040250Z 24009KT 9999 FEW045 08/05 Q1001
EGKK,2024-01-04 03:20,EGKK 040320Z 24008KT 9999 FEW025 08/05 Q1002
EGKK,2024-01-04 03:50,EGKK 040350Z 23009KT 9999 SCT018 07/05 Q1002
EGKK,2024-01-04 04:20,EGKK 040420Z 23007KT 9999 FEW020 07/05 Q1002
EGKK,2024-01-04 04:50,EGKK 040450Z 23007KT 9999 FEW026 07/05 Q1002
EGKK,2024-01-04 05:20,EGKK 040520Z 24006KT CAVOK 06/04 Q1003
EGKK,2024-01-04 05:50,EGKK 040550Z 24007KT CAVOK 06/04 Q1003
EGKK,2024-01-04 06:20,EGKK 040620Z 22006KT CAVOK 06/04 Q1003
EGKK,2024-01-04 06:50,EGKK 040650Z 22007KT CAVOK 06/04 Q1003
EGKK,2024-01-04 07:20,EGKK 040720Z 23008KT CAVOK 06/04 Q1003
EGKK,2024-01-04 07:50,EGKK 040750Z 23007KT CAVOK 06/04 Q1004
EGKK,2024-01-04 08:20,EGKK 040820Z 22008KT CAVOK 05/04 Q1004
EGKK,2024-01-04 08:50,EGKK 040850Z 23006KT CAVOK 06/04 Q1004
EGKK,2024-01-04 09:20,EGKK 040920Z 23008KT CAVOK 07/04 Q1004
EGKK,2024-01-04 09:50,EGKK 040950Z 22005KT CAVOK 07/04 Q1003
EGKK,2024-01-04 10:20,EGKK 041020Z 20003KT CAVOK 07/05 Q1004
EGKK,2024-01-04 10:50,EGKK 041050Z 21005KT CAVOK 08/05 Q1004
EGKK,2024-01-04 11:20,EGKK 041120Z 21003KT 160V250 CAVOK 09/05 Q1003
EGKK,2024-01-04 11:50,EGKK 041150Z VRB02KT CAVOK 09/05 Q1003
EGKK,2024-01-04 12:20,EGKK 041220Z 14003KT 110V170 CAVOK 09/05 Q1002
EGKK,2024-01-04 12:50,EGKK 041250Z 13004KT 9999 FEW045 09/05 Q1001
EGKK,2024-01-04 13:20,EGKK 041320Z 12004KT 9999 FEW024 SCT032 09/06 Q1001
EGKK,2024-01-04 13:50,EGKK 041350Z 12006KT 8000 -RA SCT018 09/06 Q1000
EGKK,2024-01-04 14:20,EGKK 041420Z 10006KT 9999 -RA FEW023 SCT041 08/07 Q0999
EGKK,2024-01-04 14:50,EGKK 041450Z 09005KT 8000 -RA FEW011 SCT039 BKN045 08/07 Q0999
EGKK,2024-01-04 15:20,EGKK 041520Z 07006KT 8000 -RA FEW023 BKN032 BKN044 08/08 Q0998
EGKK,2024-01-04 15:50,EGKK 041550Z 06008KT 6000 -RA SCT004 SCT024 BKN030 08/07 Q0997
EGKK,2024-01-04 16:20,EGKK 041620Z 07010KT 6000 RA FEW004 SCT015 08/07 Q0996
EGKK,2024-01-04 16:50,EGKK 041650Z 06006KT 040V100 6000 -RA FEW005 SCT010 BKN042 08/08 Q0995 RERA
EGKK,2024-01-04 17:20,EGKK 041720Z 07012KT 5000 -RA BKN004 BKN009 BKN013 08/08 Q0994
EGKK,2024-01-04 18:20,EGKK 041820Z 17012G22KT 130V210 9999 -RA SCT011 BKN042 10/09 Q0993
EGKK,2024-01-04 18:50,EGKK 041850Z 16010KT 9999 -RA SCT010 BKN039 10/09 Q0992
EGKK,2024-01-04 19:20,EGKK 041920Z 19012KT 150V230 9999 -RA BKN010 BKN016 BKN030 10/09 Q0992
EGKK,2024-01-04 19:50,EGKK 041950Z 19011G21KT 160V220 7000 -RA BKN012 BKN017 10/09 Q0992
EGKK,2024-01-04 20:20,EGKK 042020Z 21008KT 9000 -RA SCT010 BKN044 09/08 Q0992
EGKK,2024-01-04 20:50,EGKK 042050Z 18004KT 140V220 9999 FEW012 SCT023 BKN035 09/08 Q0992
EGKK,2024-01-04 21:20,EGKK 042120Z 18003KT 120V210 9999 SCT012 BKN025 BKN030 09/08 Q0992
EGKK,2024-01-04 21:50,EGKK 042150Z 20004KT 8000 -RA SCT006 BKN014 09/08 Q0991
EGKK,2024-01-04 22:20,EGKK 042220Z 19004KT 160V220 5000 -RA SCT005 BKN009 09/08 Q0991
EGKK,2024-01-04 22:50,EGKK 042250Z 19003KT 150V210 8000 -RA SCT006 BKN008 08/08 Q0991
EGKK,2024-01-04 23:20,EGKK 042320Z 26003KT 190V320 4000 -RA FEW003 BKN005 08/08 Q0991
EGKK,2024-01-04 23:50,EGKK 042350Z 32012KT 6000 -RA BKN005 07/07 Q0991
EGKK,2024-01-05 00:20,EGKK 050020Z 32016KT 9999 -RADZ BKN006 06/06 Q0992
EGKK,2024-01-05 00:50,EGKK 050050Z 32015KT 8000 -RADZ BKN007 06/05 Q0992
EGKK,2024-01-05 01:20,EGKK 050120Z 32019KT 8000 -RA BKN007 05/04 Q0993
EGKK,2024-01-05 01:50,EGKK 050150Z 31017KT 7000 -RADZ BKN007 05/04 Q0994
EGKK,2024-01-05 02:20,EGKK 050220Z 31019KT 7000 -RA FEW008 BKN011 05/04 Q0994
EGKK,2024-01-05 02:50,EGKK 050250Z 30020KT 9999 -RA BKN011 BKN021 05/04 Q0995
EGKK,2024-01-05 03:20,EGKK 050320Z 30015KT 9999 -RA BKN009 BKN017 05/04 Q0996
EGKK,2024-01-05 03:50,COR EGKK 050350Z 28015KT 9999 -RA FEW009 BKN013 05/04 Q0996
EGKK,2024-01-05 04:20,EGKK 050420Z 28017KT 9999 -RA BKN011 06/04 Q0997
EGKK,2024-01-05 04:50,EGKK 050450Z 28014KT 9999 -RA BKN011 BKN036 06/04 Q0997
EGKK,2024-01-05 05:20,EGKK 050520Z 28015KT 9999 -RA BKN012 05/04 Q0997
EGKK,2024-01-05 05:50,EGKK 050550Z 29013KT 9999 BKN012 05/04 Q0998
EGKK,2024-01-05 06:20,EGKK 050620Z 29013KT 9999 -DZ BKN011 06/04 Q0998
EGKK,2024-01-05 06:50,EGKK 050650Z 28010KT 9999 SCT012 05/04 Q0999
EGKK,2024-01-05 07:20,EGKK 050720Z 28011KT 9999 SCT014 05/04 Q0999
EGKK,2024-01-05 07:50,EGKK 050750Z 28009KT 9999 FEW016 05/04 Q0999
EGKK,2024-01-05 08:20,EGKK 050820Z 28010KT 9999 FEW013 05/04 Q1000
EGKK,2024-01-05 08:50,EGKK 050850Z 29010KT 9999 FEW014 05/03 Q1000
EGKK,2024-01-05 09:20,EGKK 050920Z 28010KT 9999 FEW016 05/04 Q1001
EGKK,2024-01-05 09:50,EGKK 050950Z 28010KT 9999 FEW015 06/04 Q1001
EGKK,2024-01-05 10:20,EGKK 051020Z 28010KT 9999 FEW014 SCT043 06/04 Q1002
EGKK,2024-01-05 10:50,EGKK 051050Z 29009KT 9999 FEW014 SCT042 06/04 Q1002
EGKK,2024-01-05 11:20,EGKK 051120Z 30009KT 9999 FEW014 SCT042 06/04 Q1002
EGKK,2024-01-05 11:50,EGKK 051150Z 30011KT 9999 FEW014 SCT042 06/04 Q1002
EGKK,2024-01-05 12:20,EGKK 051220Z 29010KT 9999 FEW014 BKN038 07/04 Q1002
EGKK,2024-01-05 12:50,EGKK 051250Z 30011KT 9999 FEW014 SCT037 07/04 Q1002
EGKK,2024-01-05 13:20,EGKK 051320Z 31010KT 9999 SCT034 07/04 Q1002
EGKK,2024-01-05 13:50,EGKK 051350Z 31008KT 290V350 CAVOK 07/04 Q1002
EGKK,2024-01-05 14:20,EGKK 051420Z 32009KT 9999 BKN016 07/04 Q1003
EGKK,2024-01-05 14:50,EGKK 051450Z 30009KT 9999 BKN016 07/04 Q1003
EGKK,2024-01-05 15:20,EGKK 051520Z 29008KT 270V330 9999 FEW017 SCT028 BKN035 07/04 Q1004
EGKK,2024-01-05 15:50,EGKK 051550Z 29006KT 9999 BKN030 07/04 Q1004
EGKK,2024-01-05 16:20,EGKK 051620Z 29005KT 9999 BKN028 07/04 Q1005
EGKK,2024-01-05 16:50,EGKK 051650Z 28005KT 9999 BKN030 07/04 Q1005
EGKK,2024-01-05 17:20,EGKK 051720Z 30008KT 9999 BKN033 07/03 Q1005
EGKK,2024-01-05 17:50,EGKK 051750Z 32006KT 280V360 9999 BKN032 07/03 Q1006
EGKK,2024-01-05 18:20,EGKK 051820Z 30005KT 9999 BKN031 BKN038 07/04 Q1006
EGKK,2024-01-05 18:50,EGKK 051850Z 30005KT 9999 BKN032 07/04 Q1006
EGKK,2024-01-05 19:20,EGKK 051920Z 30006KT 9999 BKN034 07/04 Q1007
EGKK,2024-01-05 19:50,EGKK 051950Z 31008KT 9999 BKN037 07/04 Q1007
EGKK,2024-01-05 20:20,EGKK 052020Z 31006KT 9999 SCT041 BKN048 07/04 Q1007
EGKK,2024-01-05 20:50,EGKK 052050Z 31005KT 9999 -RA FEW020 SCT025 BKN030 07/04 Q1008
EGKK,2024-01-05 21:20,EGKK 052120Z 32006KT 8000 -RA SCT011 SCT020 BKN029 06/05 Q1008
EGKK,2024-01-05 21:50,EGKK 052150Z 32006KT 9999 -RA FEW020 SCT027 BKN031 06/05 Q1008
EGKK,2024-01-05 22:20,EGKK 052220Z 34004KT 9999 FEW027 SCT046 06/04 Q1008
EGKK,2024-01-05 22:50,EGKK 052250Z 31003KT 9999 SCT044 06/05 Q1009
EGKK,2024-01-05 23:20,EGKK 052320Z 34003KT 9999 BKN042 06/04 Q1009
EGKK,2024-01-05 23:50,EGKK 052350Z 31003KT 9999 FEW018 BKN039 06/04 Q1009
EGKK,2024-01-06 00:20,EGKK 060020Z 31003KT 9999 FEW014 SCT040 05/05 Q1009
EGKK,2024-01-06 00:50,EGKK 060050Z 33002KT 9999 SCT012 BKN042 05/04 Q1010
EGKK,2024-01-06 01:20,EGKK 060120Z 32003KT 9999 FEW016 BKN031 05/05 Q1010
EGKK,2024-01-06 01:50,EGKK 060150Z VRB02KT 9999 FEW010 BKN041 05/04 Q1010
EGKK,2024-01-06 02:20,EGKK 060220Z 33004KT 9999 SCT009 BKN031 05/05 Q1010
EGKK,2024-01-06 02:50,EGKK 060250Z 32004KT 9000 SCT008 BKN012 06/05 Q1011
EGKK,2024-01-06 03:20,EGKK 060320Z 31005KT 9000 SCT009 BKN037 06/05 Q1011
EGKK,2024-01-06 03:50,EGKK 060350Z 33004KT 9000 FEW010 BKN015 06/05 Q1011
EGKK,2024-01-06 04:20,EGKK 060420Z 33006KT 7000 -RA SCT010 BKN016 06/05 Q1011
EGKK,2024-01-06 04:50,EGKK 060450Z 01004KT 8000 SCT015 BKN020 06/05 Q1011
EGKK,2024-01-06 05:20,EGKK 060520Z 01005KT 9000 BKN011 06/05 Q1012
EGKK,2024-01-06 05:50,EGKK 060550Z 01005KT 9999 BKN021 05/04 Q1012
EGKK,2024-01-06 06:20,EGKK 060620Z 34005KT 290V010 9999 SCT039 06/04 Q1013
EGKK,2024-01-06 06:50,EGKK 060650Z 33005KT 9999 SCT038 05/03 Q1013
EGKK,2024-01-06 07:20,EGKK 060720Z 34006KT 300V010 9999 FEW015 BKN037 05/03 Q1014
EGKK,2024-01-06 07:50,EGKK 060750Z 32005KT 9999 SCT030 BKN037 05/03 Q1014
EGKK,2024-01-06 08:20,EGKK 060820Z 32005KT 290V360 9999 BKN031 05/03 Q1014
EGKK,2024-01-06 08:50,EGKK 060850Z 33007KT 9999 SCT035 05/03 Q1015
EGKK,2024-01-06 09:20,EGKK 060920Z 34008KT 300V010 9999 SCT030 05/03 Q1015
EGKK,2024-01-06 09:50,EGKK 060950Z 34006KT 300V010 9999 FEW019 SCT035 06/03 Q1016
EGKK,2024-01-06 10:20,EGKK 061020Z 34006KT 310V020 9999 FEW018 SCT032 06/03 Q1016
EGKK,2024-01-06 10:50,EGKK 061050Z 35007KT 300V030 9999 FEW018 SCT030 06/03 Q1016
EGKK,2024-01-06 11:20,EGKK 061120Z 34008G19KT 270V060 9999 SCT020 SCT040 06/03 Q1017
EGKK,2024-01-06 11:50,EGKK 061150Z 36008KT 9999 SCT026 SCT041 06/03 Q1017
EGKK,2024-01-06 12:20,EGKK 061220Z 35008G20KT 260V030 9999 SCT017 06/03 Q1017
EGKK,2024-01-06 12:50,EGKK 061250Z 36009KT 320V030 9999 FEW023 SCT040 06/03 Q1017
EGKK,2024-01-06 13:20,EGKK 061320Z 35010KT 9999 SCT018 SCT025 06/03 Q1017
EGKK,2024-01-06 13:50,EGKK 061350Z 36008KT 9999 FEW018 BKN031 06/03 Q1017
EGKK,2024-01-06 14:20,EGKK 061420Z 35008KT 9999 FEW020 BKN032 06/03 Q1017
EGKK,2024-01-06 14:50,EGKK 061450Z 35007KT 9999 FEW019 BKN035 06/03 Q1017
EGKK,2024-01-06 15:20,EGKK 061520Z 36008KT 9999 SCT036 06/02 Q1018
